SprintIndex,SeasonID,RaceID,EventIndex,Team,Number,Color,DriverID,FullName,Abbreviation,LapNumber,LapNumberFlow,PaceDiff,PaceDiffTeammatesDelta,PaceDiffTeammateBest,PaceDiffTeammatesMean,PaceDiffClear
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,15.0,32,-1.941,-2.349,12.000,-0.767,-1.941
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,16.0,33,-2.244,-2.166,12.000,-1.161,-2.057
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,17.0,34,-2.101,-2.260,12.000,-0.971,-2.101
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,18.0,35,-1.921,-1.944,12.000,-0.949,-1.921
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,1.0,36,-,nan,nan,-,-
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,2.0,37,-,nan,nan,-,-
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,3.0,38,-0.410,0.395,11.000,-0.212,-0.410
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,4.0,39,-1.274,0.255,11.000,-1.147,-0.731
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,5.0,40,-0.839,0.602,11.000,-0.538,-0.839
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,6.0,41,-0.272,-0.069,12.000,-0.306,-0.272
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,7.0,42,-0.024,-0.212,12.000,-0.130,-0.024
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,8.0,43,-0.362,0.043,11.000,-0.341,-0.362
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,9.0,44,-0.318,0.071,11.000,-0.282,-0.318
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,10.0,45,-0.123,-0.629,12.000,-0.438,-0.123
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,11.0,46,0.014,-0.684,12.000,-0.328,0.014
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,12.0,47,-0.265,-0.451,12.000,-0.490,-0.265
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,13.0,48,-0.323,-0.009,12.000,-0.328,-0.323
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,14.0,49,-0.256,-0.139,12.000,-0.326,-0.256
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,15.0,50,-0.044,-0.560,12.000,-0.324,-0.044
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,16.0,51,-0.205,-0.274,12.000,-0.342,-0.205
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,17.0,52,-0.328,-0.163,12.000,-0.409,-0.328
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,18.0,53,0.012,-0.165,12.000,-0.070,0.012
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,19.0,54,-0.372,0.129,11.000,-0.307,-0.372
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,20.0,55,-0.341,-0.101,12.000,-0.392,-0.341
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,21.0,56,-0.497,0.096,11.000,-0.449,-0.497
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,22.0,57,-0.435,-0.127,12.000,-0.498,-0.435
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,23.0,58,-0.865,0.532,11.000,-0.599,-0.865
0,2021,2021190,20,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,24.0,59,-0.554,0.025,11.000,-0.542,-0.554
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,1.0,36,-,nan,nan,-,-
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,2.0,37,-,nan,nan,-,-
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,3.0,38,-0.015,0.395,11.000,-0.212,-0.015
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,4.0,39,-1.019,0.255,11.000,-1.147,-0.232
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,5.0,40,-0.237,0.602,11.000,-0.538,-0.237
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,6.0,41,-0.341,-0.069,12.000,-0.306,-0.341
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,7.0,42,-0.236,-0.212,12.000,-0.130,-0.236
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,8.0,43,-0.319,0.043,11.000,-0.341,-0.319
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,9.0,44,-0.247,0.071,11.000,-0.282,-0.247
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,10.0,45,-0.752,-0.629,12.000,-0.438,-0.408
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,11.0,46,-0.670,-0.684,12.000,-0.328,-0.670
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,12.0,47,-0.716,-0.451,12.000,-0.490,-0.716
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,13.0,48,-0.332,-0.009,12.000,-0.328,-0.332
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,14.0,49,-0.395,-0.139,12.000,-0.326,-0.395
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,15.0,50,-0.604,-0.560,12.000,-0.324,-0.469
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,16.0,51,-0.479,-0.274,12.000,-0.342,-0.479
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,17.0,52,-0.491,-0.163,12.000,-0.409,-0.491
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,18.0,53,-0.153,-0.165,12.000,-0.070,-0.153
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,19.0,54,-0.243,0.129,11.000,-0.307,-0.243
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,20.0,55,-0.442,-0.101,12.000,-0.392,-0.283
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,21.0,56,-0.401,0.096,11.000,-0.449,-0.401
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,22.0,57,-0.562,-0.127,12.000,-0.498,-0.562
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,23.0,58,-0.333,0.532,11.000,-0.599,-0.333
0,2021,2021190,20,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,24.0,59,-0.529,0.025,11.000,-0.542,-0.529
