SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
0,2025,2025210,4.0,75,Mercedes,73.52,72.971,-0.428,-0.977,-0.428,-0.977,73.948,-0.5489999999999999,35,-0.5489999999999999,35,-0.7025,-0.7025,14
0,2025,2025210,5.0,76,Mercedes,73.542,72.967,-0.214,-0.789,-0.214,-0.789,73.756,-0.5750000000000001,35,-0.5750000000000001,35,-0.5015000000000001,-0.5015000000000001,14
0,2025,2025210,6.0,77,Mercedes,,,,,,,,,,,,,,14
0,2025,2025210,7.0,78,Mercedes,,,,,,,,,,,,,,14
0,2025,2025210,8.0,79,Mercedes,,,,,,,,,,,,,,14
0,2025,2025210,9.0,80,Mercedes,75.071,74.567,-0.907,-1.411,-0.907,-1.411,75.978,-0.504,35,-0.504,35,-1.159,-1.159,14
0,2025,2025210,10.0,81,Mercedes,72.263,72.138,-1.368,-1.493,-1.368,-1.493,73.693,-0.125,35,-0.125,35,-1.4305,-1.4305,14
0,2025,2025210,11.0,82,Mercedes,72.712,72.24,-0.748,-1.22,-0.748,-1.22,73.46,-0.472,35,-0.472,35,-0.984,-0.984,14
0,2025,2025210,12.0,83,Mercedes,72.731,72.29,-0.67,-1.111,-0.67,-1.111,73.424,-0.44099999999999995,35,-0.44099999999999995,35,-0.8905000000000001,-0.8905000000000001,14
0,2025,2025210,13.0,84,Mercedes,72.628,72.368,-0.733,-0.993,-0.733,-0.993,73.374,-0.26,35,-0.26,35,-0.863,-0.863,14
0,2025,2025210,14.0,85,Mercedes,72.57,72.621,-0.99,-0.939,-0.99,-1.081,73.831,0.051000000000000045,14,-0.09099999999999997,35,-0.9644999999999999,-1.0354999999999999,14
0,2025,2025210,15.0,86,Mercedes,72.81,72.589,-0.885,-1.106,-1.061,-1.106,73.714,-0.22100000000000009,35,-0.04500000000000015,35,-0.9955,-1.0835,14
0,2025,2025210,16.0,87,Mercedes,72.697,72.705,-1.228,-1.22,-1.228,-1.22,73.943,0.008000000000000007,14,0.008000000000000007,14,-1.224,-1.224,14
0,2025,2025210,17.0,88,Mercedes,72.926,72.891,-1.113,-1.148,-1.113,-1.148,74.16,-0.03499999999999992,35,-0.03499999999999992,35,-1.1305,-1.1305,14
0,2025,2025210,18.0,89,Mercedes,73.141,73.306,-0.867,-0.702,-1.03,-0.956,74.032,0.16500000000000004,14,0.07400000000000007,14,-0.7845,-0.993,14
0,2025,2025210,19.0,90,Mercedes,73.031,73.214,-1.004,-0.821,-1.004,-0.821,74.304,0.18300000000000005,14,0.18300000000000005,14,-0.9125,-0.9125,14
