Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
77,BOT,90.922,6.0,2.0,,,S,1,9,3,2021100,0,0,0,0,0.021,0,90.932,90.922,90.932,90.673,92.571,92.541,-1.619,-1.619,0.011,-0.011,0.011,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,91.015,7.0,2.0,,,S,1,10,3,2021100,0,0,0,0,0.093,0,90.968,91.015,90.968,90.673,92.542,92.524,-1.509,-1.509,0.046,0.046,0.046,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,91.126,8.0,2.0,,,S,1,11,3,2021100,0,0,0,0,0.111,0,91.071,91.126,91.071,90.673,92.482,92.482,-1.356,-1.356,0.055,0.055,0.055,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.936,9.0,2.0,,,S,1,12,3,2021100,0,0,0,0,0.190,0,91.031,90.936,91.031,90.673,92.665,92.466,-1.530,-1.530,0.095,-0.095,0.095,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.863,10.0,2.0,,,S,1,13,3,2021100,0,0,0,0,0.073,0,90.9,90.863,90.9,90.673,92.389,92.383,-1.520,-1.520,0.037,-0.037,0.037,#CD3C3C,0,0,0,,0,90.673,0.081,0,1,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.831,11.0,2.0,,,S,1,14,3,2021100,0,0,0,0,0.032,0,90.847,90.831,90.847,90.673,92.268,92.213,-1.382,-1.382,0.016,-0.016,0.016,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.585,12.0,2.0,,,S,1,15,3,2021100,0,0,0,0,0.246,0,90.708,90.585,90.708,90.673,92.233,92.146,-1.561,-1.561,0.123,-0.123,0.123,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.488,13.0,2.0,,,S,1,16,3,2021100,0,0,0,0,0.097,0,90.536,90.488,90.536,90.673,92.147,92.107,-1.619,-1.619,0.048,-0.048,0.048,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.259,14.0,2.0,,,S,1,17,3,2021100,0,0,0,0,0.229,0,90.374,90.259,90.374,90.673,92.061,92.033,-1.774,-1.774,0.115,-0.115,0.115,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.505,15.0,2.0,,,S,1,18,3,2021100,0,0,0,0,0.246,0,90.382,90.245,90.252,90.673,92.067,92.016,-1.511,-1.771,0.253,0.253,-,#CD3C3C,1,0,1,0.253,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.231,16.0,2.0,,,S,1,19,3,2021100,0,0,0,0,0.274,0,90.368,90.231,90.238,90.673,91.921,91.888,-1.657,-1.657,0.007,-0.007,0.007,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,89.958,17.0,2.0,,,S,1,20,3,2021100,0,0,0,0,0.273,0,90.094,89.958,90.094,90.673,91.795,91.795,-1.837,-1.837,0.136,-0.136,0.136,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
16,LEC,-,1.0,2.0,,,M,12,1,4,2021100,0,0,0,0,-,1,,-,-,90.881,,,-,-,-,,-,#F0E628,1,1,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,
