SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
2,2025,2025041,6.0,191,Mercedes,98.467,98.634,-0.631,-0.464,-0.631,-0.464,99.111,0.16699999999999998,14,0.16699999999999998,14,-0.5475,-0.5475,14
2,2025,2025041,7.0,192,Mercedes,98.686,98.905,-0.482,-0.263,-0.482,-0.263,99.168,0.21899999999999997,14,0.21899999999999997,14,-0.3725,-0.3725,14
2,2025,2025041,8.0,193,Mercedes,99.007,99.197,-0.376,-0.186,-0.59,-0.186,99.472,0.19,14,0.40399999999999997,14,-0.281,-0.388,14
2,2025,2025041,9.0,194,Mercedes,98.9,99.646,-0.663,0.083,-0.663,-0.231,99.918,0.746,14,0.43200000000000005,14,-0.29000000000000004,-0.447,14
2,2025,2025041,10.0,195,Mercedes,98.889,99.467,-0.564,0.014,-0.564,0.014,99.538,0.578,14,0.578,14,-0.27499999999999997,-0.27499999999999997,14
2,2025,2025041,11.0,196,Mercedes,99.152,99.667,-0.183,0.332,-0.342,0.332,99.392,0.515,14,0.674,14,0.07450000000000001,-0.0050000000000000044,14
2,2025,2025041,12.0,197,Mercedes,99.098,,0.105,,0.105,,99.011,,,,,0.105,0.105,14
2,2025,2025041,13.0,198,Mercedes,,,,,,,98.926,,,,,,,14
2,2025,2025041,14.0,199,Mercedes,,97.732,,-0.915,,-0.915,99.0,,,,,-0.915,-0.915,14
2,2025,2025041,15.0,200,Mercedes,97.828,98.397,-0.996,-0.427,-0.996,-0.427,98.844,0.569,14,0.569,14,-0.7115,-0.7115,14
2,2025,2025041,16.0,201,Mercedes,98.067,99.069,-0.408,0.594,-0.408,0.194,98.666,1.002,14,0.602,14,0.093,-0.10699999999999998,14
2,2025,2025041,17.0,202,Mercedes,98.193,98.942,-0.249,0.5,-0.249,0.5,98.505,0.749,14,0.749,14,0.1255,0.1255,14
2,2025,2025041,18.0,203,Mercedes,98.383,98.365,0.009,-0.009,0.009,-0.009,98.567,-0.018,35,-0.018,35,0.0,0.0,14
2,2025,2025041,19.0,204,Mercedes,98.162,98.331,-0.078,0.091,-0.078,0.091,98.33,0.16899999999999998,14,0.16899999999999998,14,0.006499999999999999,0.006499999999999999,14
2,2025,2025041,20.0,205,Mercedes,98.148,98.895,-0.212,0.535,-0.212,0.145,98.511,0.747,14,0.357,14,0.16150000000000003,-0.0335,14
2,2025,2025041,21.0,206,Mercedes,97.841,98.68,-0.674,0.165,-0.674,0.165,98.693,0.8390000000000001,14,0.8390000000000001,14,-0.2545,-0.2545,14
2,2025,2025041,22.0,207,Mercedes,97.806,98.897,-0.724,0.367,-0.724,0.367,98.648,1.091,14,1.091,14,-0.1785,-0.1785,14
2,2025,2025041,23.0,208,Mercedes,98.018,98.744,-0.542,0.184,-0.542,0.184,98.653,0.726,14,0.726,14,-0.17900000000000002,-0.17900000000000002,14
2,2025,2025041,24.0,209,Mercedes,97.784,98.642,-0.85,0.008,-0.85,0.008,98.712,0.858,14,0.858,14,-0.421,-0.421,14
