SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,13_Laptime,17_Laptime,32_Laptime,13_PaceDiff,17_PaceDiff,32_PaceDiff,13_PaceDiffClear,17_PaceDiffClear,32_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024031,44.0,149,Alpine,81.597,81.447,,0.122,-0.028,,0.122,-0.028,,81.494,-,17.0,-,17,-,,-,
1,2024,2024031,45.0,150,Alpine,81.354,82.079,,0.164,0.889,,0.164,0.143,,81.26,-,13.0,-,17,-,,-,
1,2024,2024031,46.0,151,Alpine,83.041,81.22,,1.99,0.169,,0.358,0.169,,81.188,-,17.0,-,17,-,,-,
1,2024,2024031,47.0,152,Alpine,81.464,81.275,,0.441,0.252,,0.441,0.252,,81.038,-,17.0,-,17,-,,-,
1,2024,2024031,48.0,153,Alpine,81.549,81.211,,0.471,0.133,,0.471,0.133,,81.202,-,17.0,-,17,-,,-,
1,2024,2024031,49.0,154,Alpine,81.678,81.34,,0.616,0.278,,0.616,0.278,,81.062,-,17.0,-,17,-,,-,
1,2024,2024031,50.0,155,Alpine,81.633,81.222,,0.5,0.089,,0.5,0.089,,81.308,-,17.0,-,17,-,,-,
1,2024,2024031,51.0,156,Alpine,81.951,81.09,,0.77,-0.091,,0.77,-0.091,,81.2,-,17.0,-,17,-,,-,
1,2024,2024031,52.0,157,Alpine,82.155,81.161,,0.935,-0.059,,0.935,-0.059,,81.22,-,17.0,-,17,-,,-,
1,2024,2024031,53.0,158,Alpine,82.207,81.324,,0.907,0.024,,0.907,0.024,,81.444,-,17.0,-,17,-,,-,
1,2024,2024031,54.0,159,Alpine,82.229,83.034,,0.746,1.551,,0.746,-0.107,,81.838,-,13.0,-,17,-,,-,
1,2024,2024031,55.0,160,Alpine,82.304,81.427,,0.642,-0.235,,0.642,-0.235,,81.775,-,17.0,-,17,-,,-,
1,2024,2024031,56.0,161,Alpine,,,,,,,,,,81.658,-,-,-,,-,,-,
1,2024,2024031,57.0,162,Alpine,,,,,,,,,,80.775,-,-,-,,-,,-,
1,2024,2024041,1.0,163,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024041,2.0,164,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024041,3.0,165,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024041,4.0,166,Alpine,99.541,99.925,,0.844,1.228,,0.844,1.228,,98.697,-,13.0,-,13,-,,-,
1,2024,2024041,5.0,167,Alpine,100.081,99.473,,1.752,1.144,,1.752,1.144,,98.329,-,17.0,-,17,-,,-,
1,2024,2024041,6.0,168,Alpine,100.496,100.257,,2.0,1.761,,1.416,1.364,,98.672,-,17.0,-,17,-,,-,
1,2024,2024041,7.0,169,Alpine,99.744,100.248,,1.305,1.809,,1.305,1.809,,98.439,-,13.0,-,13,-,,-,
1,2024,2024041,8.0,170,Alpine,100.009,101.363,,1.668,3.022,,1.668,2.173,,98.41,-,13.0,-,13,-,,-,
1,2024,2024041,9.0,171,Alpine,100.294,100.78,,1.756,2.242,,1.756,2.242,,98.558,-,13.0,-,13,-,,-,
1,2024,2024041,10.0,172,Alpine,100.315,101.117,,1.524,2.326,,1.524,2.326,,98.791,-,13.0,-,13,-,,-,
1,2024,2024041,11.0,173,Alpine,100.371,101.628,,1.335,2.592,,1.335,2.592,,99.057,-,13.0,-,13,-,,-,
1,2024,2024041,12.0,174,Alpine,100.56,101.107,,1.469,2.016,,1.469,2.016,,99.374,-,13.0,-,13,-,,-,
1,2024,2024041,13.0,175,Alpine,101.341,102.475,,2.476,3.61,,1.808,2.575,,99.178,-,13.0,-,13,-,,-,
1,2024,2024041,14.0,176,Alpine,100.787,101.773,,1.986,2.972,,1.986,2.972,,98.893,-,13.0,-,13,-,,-,
1,2024,2024041,15.0,177,Alpine,100.961,101.38,,2.167,2.586,,2.167,2.586,,98.953,-,13.0,-,13,-,,-,
1,2024,2024041,16.0,178,Alpine,100.692,,,2.044,,,2.044,,,98.832,-,-,-,,-,,-,
1,2024,2024041,17.0,179,Alpine,100.929,,,2.568,,,2.354,,,98.477,-,-,-,,-,,-,
1,2024,2024041,18.0,180,Alpine,100.737,98.374,,2.482,0.119,,2.482,0.119,,98.446,-,17.0,-,17,-,,-,
1,2024,2024041,19.0,181,Alpine,,98.599,,,0.458,,,0.458,,98.234,-,-,-,,-,,-,
1,2024,2024041,20.0,182,Alpine,,98.741,,,0.661,,,0.661,,98.107,-,-,-,,-,,-,
1,2024,2024041,21.0,183,Alpine,97.716,98.415,,-0.548,0.151,,-0.548,0.151,,98.36,-,13.0,-,13,-,,-,
1,2024,2024041,22.0,184,Alpine,97.775,98.382,,-0.085,0.522,,-0.085,0.522,,98.08,-,13.0,-,13,-,,-,
1,2024,2024041,23.0,185,Alpine,99.219,99.816,,1.413,2.01,,0.543,0.775,,98.017,-,13.0,-,13,-,,-,
1,2024,2024041,24.0,186,Alpine,98.924,98.781,,1.514,1.371,,1.514,1.371,,97.44,-,17.0,-,17,-,,-,
1,2024,2024041,25.0,187,Alpine,99.084,99.034,,1.751,1.701,,1.751,1.701,,97.404,-,17.0,-,17,-,,-,
1,2024,2024041,26.0,188,Alpine,98.611,98.958,,1.239,1.586,,1.239,1.586,,97.372,-,13.0,-,13,-,,-,
1,2024,2024041,27.0,189,Alpine,98.943,98.902,,1.574,1.533,,1.243,1.533,,97.391,-,17.0,-,13,-,,-,
1,2024,2024041,28.0,190,Alpine,98.612,98.873,,1.324,1.585,,1.324,1.585,,97.288,-,13.0,-,13,-,,-,
1,2024,2024041,29.0,191,Alpine,98.702,99.052,,1.293,1.643,,1.293,1.643,,97.55,-,13.0,-,13,-,,-,
1,2024,2024041,30.0,192,Alpine,98.499,98.894,,1.014,1.409,,1.014,1.409,,97.485,-,13.0,-,13,-,,-,
1,2024,2024041,31.0,193,Alpine,98.662,99.45,,1.08,1.868,,1.08,1.868,,97.582,-,13.0,-,13,-,,-,
1,2024,2024041,32.0,194,Alpine,98.366,,,0.684,,,0.684,,,97.682,-,-,-,,-,,-,
1,2024,2024041,33.0,195,Alpine,,,,,,,,,,97.554,-,-,-,,-,,-,
1,2024,2024041,34.0,196,Alpine,,98.671,,,1.652,,,1.652,,97.055,-,-,-,,-,,-,
1,2024,2024041,35.0,197,Alpine,97.126,97.656,,0.627,1.157,,0.627,1.157,,96.537,-,13.0,-,13,-,,-,
1,2024,2024041,36.0,198,Alpine,96.983,97.283,,0.779,1.079,,0.779,1.079,,96.24,-,13.0,-,13,-,,-,
1,2024,2024041,37.0,199,Alpine,98.763,98.426,,2.397,2.06,,0.483,2.06,,96.528,-,17.0,-,13,-,,-,
1,2024,2024041,38.0,200,Alpine,96.714,96.756,,0.505,0.547,,0.505,0.547,,96.23,-,13.0,-,13,-,,-,
1,2024,2024041,39.0,201,Alpine,97.058,100.223,,1.027,4.192,,1.027,1.383,,96.256,-,13.0,-,13,-,,-,
1,2024,2024041,40.0,202,Alpine,97.58,98.072,,1.513,2.005,,1.513,2.005,,96.164,-,13.0,-,13,-,,-,
1,2024,2024041,41.0,203,Alpine,99.008,97.477,,3.186,1.655,,1.532,1.655,,95.926,-,17.0,-,13,-,,-,
1,2024,2024041,42.0,204,Alpine,97.129,97.014,,1.148,1.033,,1.148,1.033,,96.414,-,17.0,-,17,-,,-,
1,2024,2024041,43.0,205,Alpine,97.478,96.799,,1.532,0.853,,1.532,0.853,,95.946,-,17.0,-,17,-,,-,
1,2024,2024041,44.0,206,Alpine,100.961,97.201,,5.04,1.28,,1.309,1.28,,96.159,-,17.0,-,17,-,,-,
1,2024,2024041,45.0,207,Alpine,96.983,96.942,,0.929,0.888,,0.929,0.888,,96.124,-,17.0,-,17,-,,-,
1,2024,2024041,46.0,208,Alpine,97.091,96.997,,1.053,0.96,,1.053,0.96,,96.285,-,17.0,-,17,-,,-,
