SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,26_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,26_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,26_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023031,14.0,121,Alpha Tauri,,84.369,83.662,,,0.928,0.221,,,0.346,0.221,,83.474,-,26.0,-,26,-,,-,
2,2023,2023031,15.0,122,Alpha Tauri,,83.945,83.984,,,0.426,0.465,,,0.426,0.465,,83.796,-,9.0,-,9,-,,-,
2,2023,2023031,16.0,123,Alpha Tauri,,84.004,84.689,,,0.519,1.204,,,0.519,0.512,,83.603,-,9.0,-,26,-,,-,
2,2023,2023031,17.0,124,Alpha Tauri,,83.704,84.01,,,-0.135,0.171,,,-0.135,0.171,,83.839,-,9.0,-,9,-,,-,
2,2023,2023031,18.0,125,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,19.0,126,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,20.0,127,Alpha Tauri,,83.267,84.161,,,0.182,1.076,,,0.182,1.076,,83.085,-,9.0,-,9,-,,-,
2,2023,2023031,21.0,128,Alpha Tauri,,83.906,83.792,,,0.877,0.763,,,0.216,0.763,,83.216,-,26.0,-,9,-,,-,
2,2023,2023031,22.0,129,Alpha Tauri,,83.222,84.349,,,0.157,1.284,,,0.157,0.84,,83.163,-,9.0,-,9,-,,-,
2,2023,2023031,23.0,130,Alpha Tauri,,83.846,84.019,,,0.792,0.965,,,0.437,0.965,,83.075,-,9.0,-,9,-,,-,
2,2023,2023031,24.0,131,Alpha Tauri,,83.76,84.229,,,0.715,1.184,,,0.715,1.184,,83.105,-,9.0,-,9,-,,-,
2,2023,2023031,25.0,132,Alpha Tauri,,83.612,84.453,,,0.533,1.374,,,0.533,1.374,,83.301,-,9.0,-,9,-,,-,
2,2023,2023031,26.0,133,Alpha Tauri,,83.431,84.353,,,0.471,1.393,,,0.471,1.393,,83.024,-,9.0,-,9,-,,-,
2,2023,2023031,27.0,134,Alpha Tauri,,83.693,86.014,,,1.033,3.354,,,1.033,1.72,,82.803,-,9.0,-,9,-,,-,
2,2023,2023031,28.0,135,Alpha Tauri,,83.13,84.406,,,0.536,1.812,,,0.536,1.812,,82.645,-,9.0,-,9,-,,-,
2,2023,2023031,29.0,136,Alpha Tauri,,83.893,84.527,,,1.295,1.929,,,0.746,1.929,,82.688,-,9.0,-,9,-,,-,
2,2023,2023031,30.0,137,Alpha Tauri,,83.558,84.284,,,0.824,1.55,,,0.824,1.55,,82.777,-,9.0,-,9,-,,-,
2,2023,2023031,31.0,138,Alpha Tauri,,83.831,84.333,,,1.133,1.635,,,1.133,1.635,,82.831,-,9.0,-,9,-,,-,
2,2023,2023031,32.0,139,Alpha Tauri,,83.246,84.357,,,0.628,1.739,,,0.628,1.739,,82.654,-,9.0,-,9,-,,-,
2,2023,2023031,33.0,140,Alpha Tauri,,83.068,83.992,,,0.604,1.528,,,0.604,1.528,,82.464,-,9.0,-,9,-,,-,
2,2023,2023031,34.0,141,Alpha Tauri,,83.934,84.134,,,1.304,1.504,,,1.304,1.504,,82.643,-,9.0,-,9,-,,-,
2,2023,2023031,35.0,142,Alpha Tauri,,85.477,84.628,,,2.857,2.008,,,1.002,1.646,,82.815,-,26.0,-,9,-,,-,
2,2023,2023031,36.0,143,Alpha Tauri,,83.31,84.398,,,0.862,1.95,,,0.862,1.95,,82.495,-,9.0,-,9,-,,-,
2,2023,2023031,37.0,144,Alpha Tauri,,83.084,84.155,,,0.805,1.876,,,0.805,1.876,,82.313,-,9.0,-,9,-,,-,
2,2023,2023031,38.0,145,Alpha Tauri,,83.057,84.131,,,0.762,1.836,,,0.762,1.836,,82.295,-,9.0,-,9,-,,-,
2,2023,2023031,39.0,146,Alpha Tauri,,83.193,83.947,,,1.04,1.794,,,1.04,1.794,,82.2,-,9.0,-,9,-,,-,
2,2023,2023031,40.0,147,Alpha Tauri,,82.901,83.933,,,0.847,1.879,,,0.847,1.879,,82.054,-,9.0,-,9,-,,-,
2,2023,2023031,41.0,148,Alpha Tauri,,82.91,83.696,,,0.959,1.745,,,0.959,1.745,,82.003,-,9.0,-,9,-,,-,
2,2023,2023031,42.0,149,Alpha Tauri,,82.881,84.184,,,0.944,2.247,,,0.944,2.247,,81.937,-,9.0,-,9,-,,-,
2,2023,2023031,43.0,150,Alpha Tauri,,82.806,85.035,,,1.063,3.292,,,1.063,2.168,,81.858,-,9.0,-,9,-,,-,
2,2023,2023031,44.0,151,Alpha Tauri,,82.387,83.637,,,0.754,2.004,,,0.754,2.004,,81.789,-,9.0,-,9,-,,-,
2,2023,2023031,45.0,152,Alpha Tauri,,82.111,,,,0.59,,,,0.59,,,81.565,-,-,-,,-,,-,
2,2023,2023031,46.0,153,Alpha Tauri,,82.299,,,,0.891,,,,0.891,,,81.408,-,-,-,,-,,-,
2,2023,2023031,47.0,154,Alpha Tauri,,82.009,81.844,,,0.464,0.299,,,0.464,0.299,,81.872,-,26.0,-,26,-,,-,
2,2023,2023031,48.0,155,Alpha Tauri,,82.04,81.693,,,0.325,-0.022,,,0.325,-0.022,,81.715,-,26.0,-,26,-,,-,
2,2023,2023031,49.0,156,Alpha Tauri,,82.294,81.288,,,0.763,-0.243,,,0.763,-0.243,,81.566,-,26.0,-,26,-,,-,
2,2023,2023031,50.0,157,Alpha Tauri,,82.011,81.183,,,0.597,-0.231,,,0.597,-0.231,,81.414,-,26.0,-,26,-,,-,
2,2023,2023031,51.0,158,Alpha Tauri,,81.827,81.331,,,0.365,-0.131,,,0.365,-0.131,,81.836,-,26.0,-,26,-,,-,
2,2023,2023031,52.0,159,Alpha Tauri,,81.789,81.189,,,0.361,-0.239,,,0.361,-0.239,,81.428,-,26.0,-,26,-,,-,
2,2023,2023031,53.0,160,Alpha Tauri,,,,,,,,,,,,,80.929,-,-,-,,-,,-,
